,z,t,theta_train
0,-1.0,0.0,0.128024047274532
1,-1.0,0.012,0.1499377285014953
2,-1.0,0.024,0.2735504968159863
3,-1.0,0.036000000000000004,0.3112475130592143
4,-1.0,0.048,0.3189696393614829
5,-1.0,0.06,0.3391218179664526
6,-1.0,0.07200000000000001,0.3497761841100123
7,-1.0,0.084,0.35923648699206856
8,-1.0,0.096,0.3613797097148239
9,-1.0,0.10800000000000001,0.3637383073880003
10,-1.0,0.12,0.3787694613071661
11,-1.0,0.132,0.382122576204746
12,-1.0,0.14400000000000002,0.38454946784934557
13,-1.0,0.156,0.38775273597920473
14,-1.0,0.168,0.3971914357249537
15,-1.0,0.18,0.3884732288254876
16,-1.0,0.192,0.39313479390139755
17,-1.0,0.204,0.39791800985102793
18,-1.0,0.21600000000000003,0.409144199033329
19,-1.0,0.228,0.4054867193925846
20,-1.0,0.24,0.39903554617666664
21,-1.0,0.252,0.3986571108807079
22,-1.0,0.264,0.37795531314642583
23,-1.0,0.276,0.36493479813207147
24,-1.0,0.28800000000000003,0.36494405527487067
25,-1.0,0.3,0.3569890585006157
26,-1.0,0.312,0.3473126988704731
27,-1.0,0.324,0.34469592944499433
28,-1.0,0.336,0.33796509203037295
29,-1.0,0.34800000000000003,0.3403707812279569
30,-1.0,0.36,0.33557827198967066
31,-1.0,0.37200000000000005,0.340466362084579
32,-1.0,0.384,0.33498029772228183
33,-1.0,0.396,0.32168097669900597
34,-1.0,0.408,0.3221461774978767
35,-1.0,0.42,0.3181481816459126
36,-1.0,0.43200000000000005,0.31801266113924453
37,-1.0,0.444,0.32218386455037934
38,-1.0,0.456,0.3115584118873458
39,-1.0,0.46799999999999997,0.3227606387888106
40,-1.0,0.48,0.3267323727020671
41,-1.0,0.49200000000000005,0.30144288844149286
42,-1.0,0.504,0.31595238121799374
43,-1.0,0.516,0.30525214950201696
44,-1.0,0.528,0.30597773684634044
45,-1.0,0.54,0.29308433047717614
46,-1.0,0.552,0.3008907204561707
